nome,tipo,temporada,preco,id_time
flamengo,home,2008-09,219.99,1
brasil,home,2002-03,219.99,2
arsenal,home,2005-06,219.99,3
fiorentina,home,1998-99,219.99,4
flamengo,home,2003-04,219.99,1
parma,away,2002-03,219.99,5
real madrid,away,2006-07,219.99,6
milan,away,2006-07,219.99,7
brasil,home,1998-99,219.99,2
japão,home,1998-99,219.99,8
manchester united,home,2007-08,239.99,9
barcelona,home,2014-15,219.99,10
flamengo,home,1995,219.99,1
inter de milão,home,2009-10,219.99,11
manchester united,home,1998-99,219.99,9
milan,home,2006-07,219.99,7
celtic,home,1997-99,219.99,12
argentina,away,1994,219.99,13
milan,away,2006-07,239.99,7
milan,home,2009-10,239.99,7
psg jordan black,,2018-19,219.99,36
liverpool,home,2018-19,219.99,14
real madrid,away,2014-15,219.99,6
frança,away,2006-07,219.99,15
inter de milão,home,1997-98,219.99,11
barcelona,home,1992-94,219.99,10
liverpool,away,1996-97,219.99,14
chelsea,home,2012-13,219.99,16
real madrid,third,2014-15,239.99,6
inter de milão,third,2004-05,219.99,11
manchester united,home,1992-94,219.99,9
real madrid,third,2014-15,219.99,6
corinthians,away,2000,219.99,17
bayern de munique,away,1997-99,219.99,18
corinthians são jorge,,2011-12,219.99,17
boca juniors,home,1996-97,219.99,19
manchester united centenário,,2001-02,219.99,9
brasil,home,1994,219.99,2
barcelona,home,1999,219.99,10
chelsea,home,2012-13,239.99,16
real madrid,away,2006-07,239.99,6
jamaica,away,1998-99,219.99,20
flamengo centenário,,1995,219.99,1
milan,home,2013-14,219.99,7
fiorentina,home,1998-99,239.99,4
real madrid,home,2016-17,219.99,6
arsenal,home,2004-05,219.99,3
milan,third,2007-08,219.99,7
nigéria,home,1996,219.99,21
inglaterra,home,1998-99,219.99,22
frança,home,1998-99,219.99,15
espanha,away,2010-11,219.99,23
escócia,home,1996-98,219.99,24
napoli,home,1987-88,219.99,25
juventus,away,2015-16,239.99,26
real madrid,home,2011-12,219.99,6
real madrid,home,2002-03,219.99,6
real betis,home,1995-96,219.99,27
barcelona,home,2010-11,219.99,10
manchester united,home,2007-08,219.99,9
milan,home,2008-09,219.99,7
flamengo,home,2019-20,219.99,1
inter de milão centenário,,2007-08,219.99,11
holanda,home,1988,219.99,28
brasil,away,1998-99,219.99,2
milan,home,2006-07,239.99,7
juventus,home,2004-05,219.99,26
juventus,third,1995-97,219.99,26
real madrid,away,2016-17,219.99,6
real madrid,third,1999-00,219.99,6
real madrid,third,2017-18,239.99,6
barcelona,home,2017-18,219.99,10
newcastle,home,1995-97,219.99,29
psg x jordan,,2024-25,219.99,36
manchester united,home,2007-08,254.99,9
nigeria,home,2018,219.99,30
corinthians,home,2012,234.99,17
corinthians,away,2010,219.99,17
japão,home,2000-01,219.99,8
inglaterra,home,1994-95,219.99,22
brasil,home,2010-11,219.99,2
boca juniors,home,1981,219.99,19
flamengo,away,1995,219.99,1
corinthians,home,2012,219.99,17
olympique de marsellie,home,1998-99,219.99,31
roma,home,1999-00,219.99,32
milan,home,2014-15,219.99,7
milan,home,2009-10,219.99,7
juventus,home,2014-15,219.99,26
inter de milão,home,1999-00,219.99,11
inter de milão,away,2009-10,219.99,11
barcelona,home,2016-17,219.99,10
manchester united,away,1993-94,219.99,9
manchester united,home,1998-99,239.99,9
manchester city,home,1997-98,219.99,33
liverpool,home,2006-08,219.99,14
manchester united,home,1991-92,219.99,9
japão,home,2000,239.99,8
flamengo,away,2019-20,219.99,1
barcelona,third,2013-14,219.99,10
tottenham,home,1991-93,219.99,34
inglaterra,home,2012-13,219.99,22
corinthians,home,2000,219.99,17
inter de milão,home,2008-09,219.99,11
liverpool,home,2005-06,219.99,14
espanha,home,2010-11,219.99,23
boca juniors,home,2003-04,219.99,19
boca juniors,away,1996-97,219.99,19
flamengo,home,2009-10,219.99,1
corinthians centenário,,2010,219.99,17
corinthians,third,2018-19,219.99,17
borussia dortmund,home,2012-13,219.99,35
milan,home,2010-11,219.99,7
juventus,away,2015-16,219.99,26
juventus,home,1999-00,219.99,26
fiorentina,home,1999-00,249.99,4
fiorentina,home,1999-00,219.99,4
real madrid,home,1998-99,219.99,6
real madrid,home,2000-01,219.99,6
real madrid,home,2014-15,219.99,6
barcelona,home,2015-16,219.99,10
barcelona,home,2005-06,219.99,10
barcelona,home,2008-09,219.99,10
manchester united,away,1990-92,219.99,9
liverpool,home,1993-95,219.99,14
chelsea,home,2011-12,219.99,16
barcelona,third,2019-20,219.99,10
milan,third,1998-99,219.99,7
argentina,home,1998,219.99,13
flamengo,away,2008-09,219.99,1
corinthians,home,2011,219.99,17
barcelona,away,2016-17,219.99,10
flamengo,home,2017-18,219.99,1
psg,home,2017-18,219.99,36
chelsea,third,2019-20,219.99,16
real madrid,away,2014-15,239.99,6
corinthians,home,2010,219.99,17
real madrid,away,2015-16,219.99,6
parma,home,1999-00,239.99,5
méxico,home,1998-99,219.99,37
brasil,away,2002-03,219.99,2
brasil,home,2004-05,219.99,2
argentina,away,2006,219.99,13
alemanha,home,2006,219.99,38
alemanha,away,2014,219.99,38
alemanha,home,2014,219.99,38
porto,home,2003-04,219.99,39
boca juniors,home,1981,239.99,19
borussia dortmund,home,1997-98,219.99,35
bayern de munique,home,2013-14,219.99,18
bayern de munique,away,1995-96,219.99,18
napoli,home,1986-87,219.99,25
milan,home,1996-97,219.99,7
milan,third,2011-12,219.99,7
milan,home,2013-14,239.99,7
juventus,home,1995-97,219.99,26
inter de milão,home,2001-02,219.99,11
inter de milão,home,2010-11,219.99,11
real madrid,home,2013-14,219.99,6
real madrid,home,1997-98,219.99,6
real madrid,third,2012-13,219.99,6
barcelona,home,2009-10,219.99,10
barcelona,away,2010-11,219.99,10
tottenham,home,2008-09,219.99,34
newcastle,home,2005-06,219.99,29
manchester united,away,2008-09,219.99,9
manchester united,home,2013-14,219.99,9
manchester united,home,2002-04,219.99,9
manchester united,home,1999-00,219.99,9
manchester united,home,1996-97,239.99,9
liverpool,away,1993-95,219.99,14
chelsea,home,2005-06,219.99,16
manchester united,away,2012-13,219.99,9
manchester city,home,2013-14,219.99,33
manchester united,away,2003-04,219.99,9
real madrid,third,2015-16,219.99,6
borussia dortmund,home,1994-95,219.99,35
olympique de marsellie,away,1998-99,219.99,31
inglaterra,home,2006-07,219.99,22
valencia,away,2006-07,219.99,40
milan,away,2009-10,219.99,7
portugal,home,2016-17,219.99,41
inglaterra,home,1998-99,239.99,22
escócia,away,1988-89,219.99,24
escócia,away,1991-93,219.99,24
brasil,home,1998-99,239.99,2
brasil,home,2006-07,219.99,2
brasil,home,1970,219.99,2
psg,away,2000-01,219.99,36
psg,home,1998-99,219.99,36
borussia dortmund,home,1998-99,219.99,35
borussia dortmund,home,1995-97,219.99,35
bayern de munique,home,2010-11,219.99,18
milan,home,1999-00,219.99,7
milan,home,2003-04,219.99,7
juventus,home,2017-18,219.99,26
juventus,third,2004-05,219.99,26
juventus,home,2002-03,219.99,26
inter de milão,third,1997-98,219.99,11
inter de milão,home,2010-11,219.99,11
real madrid,home,2010-11,219.99,6
real madrid,home,2011-12,239.99,6
real madrid,home,2014-15,239.99,6
real madrid,home,2012-13,219.99,6
real madrid,home,2017-18,239.99,6
real madrid,home,2017-18,219.99,6
real madrid,away,2017-18,239.99,6
barcelona,home,1998-99,219.99,10
west ham,home,1995-97,219.99,42
tottenham,away,1994-95,219.99,34
manchester united,away,2008-09,219.99,9
manchester united,away,2006-07,219.99,9
manchester united,home,1994-96,219.99,9
manchester united,away,1998-99,239.99,9
manchester united,away,1998-99,219.99,9
liverpool,home,1995-96,219.99,14
liverpool,home,2014-15,219.99,14
chelsea,home,1997,219.99,16
chelsea,home,2008-09,219.99,16
arsenal,home,2000-02,219.99,3
arsenal,away,1999-01,219.99,3
arsenal,third,2007-08,219.99,3
arsenal,home,1990-92,219.99,3
real madrid,home,2015-16,239.99,6
atletico de madrid,away,2004-05,239.99,51
atletico de madrid,home,2004-05,239.99,51
barcelona,third,2014-15,219.99,10
iugoslávia,home,1998,219.99,44
portugal,home,2006-07,239.99,41
frança,home,1984-86,219.99,15
liverpool,home,2010-11,239.99,14
real madrid,away,2011-12,219.99,6
flamengo,home,2008-09,239.99,1
liverpool,home,2006-08,239.99,14
real madrid,third,2013-14,219.99,6
real madrid,away,2010-11,239.99,6
manchester city,away,1997-98,219.99,33
brasil centenário,,2004,219.99,2
manchester united,home,2002-04,239.99,9
flamengo,home,2000-01,219.99,1
real madrid,home,2003-04,219.99,6
real madrid,home,2016-17,239.99,6
real madrid,home,2006-07,239.99,6
arsenal,home,2000-02,239.99,3
milan,home,2012-13,219.99,7
arsenal,away,2005-06,219.99,3
milan,home,2007-08,239.99,7
manchester united,home,2006-07,239.99,9
arsenal,home,2005-06,239.99,3
portugal,home,2014-15,219.99,41
portugal,away,2012-13,239.99,41
portugal,away,2012-13,219.99,41
nigéria,away,1996,219.99,21
itália,home,2000-01,219.99,45
itália,away,1996-97,219.99,45
inglaterra,away,2002-03,239.99,22
inglaterra,home,2002-03,239.99,22
inglaterra,home,1996-97,219.99,22
holanda,home,2010,219.99,28
frança,home,1996-97,219.99,15
frança,home,2000-01,219.99,15
frança,home,2004-05,219.99,15
escócia,third,1988-89,219.99,24
escócia,home,1994-96,219.99,24
brasil,home,1991-93,219.99,2
argentina,home,2006,219.99,13
alemanha,home,1994,219.99,38
alemanha,away,2010,219.99,38
river plate,home,2008-09,219.99,46
rangers,home,1996-97,219.99,47
psv,away,1998-99,219.99,48
celtic,home,2005-06,219.99,12
celtic,home,2010-12,219.99,12
celtic,home,2012-13,219.99,12
ajax,home,1994-95,219.99,49
ajax,away,1994-95,219.99,49
olympique de marsellie,home,2005-06,219.99,31
bayern de munique,third,2014-15,219.99,18
bayern de munique,away,1997-99,219.99,18
bayern de munique,home,1995-97,219.99,18
roma,home,2005-06,219.99,32
roma,away,2000-01,219.99,32
roma,home,2001-02,219.99,32
napoli,home,1988-89,219.99,25
milan,away,2002-03,219.99,7
milan,home,2002-03,219.99,7
milan,away,2013-14,219.99,7
lazio,home,1999-00,219.99,50
lazio,away,1998-00,219.99,50
inter de milão,away,1998-99,219.99,11
inter de milão,home,2002-03,219.99,11
fiorentina,home,1997-98,219.99,4
valencia,home,2009-10,219.99,40
real madrid,away,2009-10,219.99,6
real madrid,home,1996-97,219.99,6
real madrid,third,1998-99,219.99,6
real madrid,home,2001-02,239.99,6
real madrid,away,2005-06,219.99,6
real madrid,home,2006-07,219.99,6
real madrid,third,2012-13,239.99,6
real madrid,home,2013-14,239.99,6
real madrid,away,2017-18,219.99,6
real betis,home,1996-97,219.99,27
barcelona,home,2003-04,219.99,10
barcelona,home,2007-08,219.99,10
barcelona,away,2008-09,219.99,10
barcelona,away,2013-14,219.99,10
atlético de madrid,home,2003-04,219.99,51
newcastle,home,1997-99,219.99,29
manchester united,away,2018-19,219.99,9
manchester united,home,2011-12,219.99,9
manchester united,home,2012-13,219.99,9
manchester united,home,2004-06,219.99,9
manchester united,third,1993-94,219.99,9
liverpool,home,1996-97,219.99,14
liverpool,away,1999-00,219.99,14
liverpool,away,2009-10,219.99,14
chelsea,away,2003-05,219.99,16
arsenal,away,2000-01,219.99,3
arsenal,away,1994-95,219.99,3
arsenal,away,1997-98,219.99,3
real madrid,third,2011-12,259.99,6
flamengo,home,1990,219.99,1
manchester united,away,1998-99,219.99,9
getafe,home,2009-10,219.99,52
holanda,home,2014-15,219.99,28
itália,home,2012-13,219.99,45
espanha,home,2012-13,219.99,23
barcelona,third,2016-17,219.99,10
barcelona,away,2013-14,219.99,10
real betis,home,1995-97,239.99,27
real madrid,away,2011-12,239.99,6
espanha,away,2010,239.99,23
barcelona,third,2018-19,219.99,10
real madrid,third,2013-14,239.99,6
real madrid,away,2010-11,219.99,6
portugal,home,2016-17,239.99,41
new york city,home,2015,219.99,53
arsenal,away,2002-03,219.99,3
brasil goleiro centenário,,2004,239.99,2
real madrid,home,2007-08,219.99,6
psg,away,2001-02,219.99,36
celta de vigo,home,2003-04,219.99,54
fiorentina,away,1999-00,219.99,4
real madrid,third,2013-14,219.99,6
barcelona,home,2014-15,239.99,10
real madrid,third,2016-17,239.99,6
milan,away,2007-08,219.99,7
kaizer chiefs,home,1998-99,219.99,55
portugal,away,2015-16,219.99,41
portugal,home,2004-05,219.99,41
méxico,away,2006,219.99,37
méxico,away,1998-99,219.99,37
itália,away,2006-07,219.99,45
itália,away,1998-99,219.99,45
itália,home,1998-99,219.99,45
itália,home,1996-97,219.99,45
irlanda do sul,home,1994,219.99,56
irlanda do sul,home,1990-92,219.99,56
inglaterra,home,2004-05,219.99,22
inglaterra,home,2002-03,219.99,22
holanda,home,2002-03,219.99,28
frança,home,2006-07,219.99,15
frança,home,2002-03,219.99,15
espanha,home,2002-03,219.99,23
escócia,home,1992-93,219.99,24
escócia,away,1994,219.99,24
escócia,home,1998-00,219.99,24
escócia,away,1996-98,219.99,24
dinamarca,home,1992-93,219.99,57
croácia,home,2002-03,219.99,58
brasil,away,2006-07,219.99,2
brasil,away,2004-05,219.99,2
brasil,away,2010-11,219.99,2
argentina,away,2014,219.99,13
argentina,home,2010,219.99,13
alemanha gk,,2002,219.99,38
alemanha,home,1996,219.99,38
alemanha,home,1998,219.99,38
alemanha,home,2015,219.99,38
sporting,home,2001-03,219.99,59
river plate,home,2008-09,239.99,46
los angeles galaxy,home,2012,219.99,60
los angeles galaxy,home,2007-08,219.99,60
boca juniors,home,2003-04,239.99,19
benfica,away,2004-05,219.99,61
ajax,home,1995-96,219.99,49
ajax,away,1995-97,219.99,49
ajax,away,2000-01,219.99,49
flamengo,third,2007-08,219.99,1
psg,home,2013-14,219.99,36
psg,home,2012-13,219.99,36
psg,away,2006-07,219.99,36
olympique de marsellie,home,2002-03,219.99,31
borussia dortmund,home,2002-03,219.99,35
borussia dortmund,home,2000-01,219.99,35
bayern de munique,home,2010-11,239.99,18
bayern de munique,home,1993-95,219.99,18
roma,home,2005-06,219.99,32
parma,home,1993-94,219.99,5
parma,home,2001-02,219.99,5
milan,home,1999-00,239.99,7
milan,away,1996-97,219.99,7
milan,away,2011-12,219.99,7
lazio,away,1999-00,219.99,50
lazio,home,1999-00,219.99,50
lazio,away,2000-01,219.99,50
juventus,away,2011-12,219.99,26
juventus,home,2011-12,219.99,26
juventus,home,2005-06,219.99,26
juventus,away,1994-95,219.99,26
juventus,home,1994-95,219.99,26
inter de milão,home,1988-90,219.99,11
inter de milão,away,1990-91,219.99,11
inter de milão,away,1997-98,219.99,11
inter de milão,home,1998-99,219.99,11
fiorentina,away,1998-99,219.99,4
valencia,home,2003-04,219.99,40
real madrid,home,2010-11,239.99,6
real madrid,home,1994-96,219.99,6
real madrid,home,2004-05,219.99,6
real madrid,away,2004-05,219.99,6
real madrid,home,2005-06,239.99,6
real madrid,home,2009-10,219.99,6
real madrid,away,2012-13,219.99,6
real madrid,home,2015-16,219.99,6
real madrid,home,2019-20,219.99,6
real betis,home,2003-04,219.99,27
barcelona,home,1990-92,219.99,10
barcelona,away,1997-98,219.99,10
atlético de madrid,away,2004-05,219.99,51
west ham,away,1995-97,219.99,42
tottenham,away,1992-94,219.99,34
newcastle,home,2000-01,219.99,29
manchester united,home,2009-10,219.99,9
manchester united,home,2010-11,219.99,9
manchester united,away,2010-11,219.99,9
manchester united,away,2002-03,219.99,9
manchester united,away,1992-93,219.99,9
manchester united,home,1996-97,219.99,9
manchester city,home,2007-08,219.99,33
manchester city,away,1998-99,219.99,33
manchester city,home,2011-12,219.99,33
liverpool,home,1992-93,219.99,14
liverpool,away,1995-96,219.99,14
liverpool,third,1994-95,219.99,14
liverpool,home,1998-99,219.99,14
liverpool,away,2000-01,219.99,14
liverpool,home,2004-05,219.99,14
liverpool,home,2008-10,219.99,14
leeds,home,2000-01,219.99,62
chelsea,home,1996-97,219.99,16
chelsea,away,2003-05,239.99,16
